"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","TREM2",0.000148321189667314,3.2207177542898,6022.46141435037,0,0
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",4.54881002146922e-06,1.08371714479217,5.66452142758857,0.0173114395838781,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",4.46567248071775e-06,1.07511897445819,5.45935532926774,0.0194638265453224,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",4.2592650304216e-06,1.05316880712287,4.96634579287584,0.0258451956095957,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT8",4.18978955759979e-06,1.04557696873807,4.8056489839253,0.0283665806266825,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLA2G7",4.13255338690749e-06,1.0392417611853,4.67524711854245,0.0306002999907983,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","HAMP",4.04788700282457e-06,1.02973230763891,4.48563970133191,0.0341807521637714,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","MDK",4.03800808764518e-06,1.02861175484688,4.46377190680182,0.0346209685879314,0.502004044525005
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT19",3.83546797607217e-06,1.00510812826717,4.02721065900518,0.0447719072084968,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB42",3.66354860807574e-06,0.984315095960585,3.6742740199392,0.0552583134205266,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",3.55891497424423e-06,0.971250467748338,3.46739126319481,0.0625899476250612,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","EPCAM",3.51911630424055e-06,0.966195368898123,3.39027452317758,0.0655820291801561,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN3",3.47666178402047e-06,0.960749090389773,3.30896758857221,0.0689027671221946,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",3.43079647230782e-06,0.954801372669022,3.22223740928464,0.0726442737711257,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","EEPD1",3.31960879696933e-06,0.940097316029829,3.01676471153497,0.08240771511178,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1R1",3.30877540093274e-06,0.938642368862959,2.99710668491109,0.0834133576017285,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","LRP1",3.25403236373784e-06,0.931227751411493,2.8987540050706,0.0886480512741512,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",3.2514512720125e-06,0.930875548122598,2.89415725752377,0.0889012550195972,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOE",3.08114243421269e-06,0.907093405569946,2.59890961678179,0.106937265160026,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","LTA4H",3.06287453134824e-06,0.90447655437434,2.56818342580085,0.109032873636147,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFT57",3.06185083867984e-06,0.904329519742849,2.56646700472526,0.109151261150926,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","TNFRSF12A",3.04126921690621e-06,0.901364448049847,2.5320796212487,0.111553108197,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","LPL",3.01964843766591e-06,0.898231247819959,2.49620582379818,0.114120939652074,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFI6",2.9943065904957e-06,0.894534442194413,2.45448373247667,0.117189693757361,0.566416853160576
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","LGALS3",2.93151902709112e-06,0.885259282757639,2.35262691029784,0.125072086837729,0.580334482927064
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","UBE2T",2.78880344411472e-06,0.86353206973188,2.12913617029377,0.144522181845954,0.644791272851178
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","SERPINB9",2.64186333975847e-06,0.840151003074405,1.91068160469062,0.166887564567755,0.716998425550357
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","CCL3",2.54517363807534e-06,0.824155380224648,1.77338266288579,0.182964001312833,0.736267018367947
"GSE308103","macrophage","TREM2",116,90,"original_scTenifoldKnk_expanded_sensitivity","ADAMDEC1",2.53877669876678e-06,0.823079007140408,1.76447956485266,0.184066754591987,0.736267018367947
