"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",6.81814691764083e-06,1.11367232114487,5.98629037686535,0.0144174913491268,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",6.69925015907508e-06,1.10410519928846,5.77932954790775,0.0162157256762745,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",6.37460194600255e-06,1.07724511222815,5.23276475443065,0.0221652727437672,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT8",6.28432514542757e-06,1.06957447382101,5.08560192583909,0.0241253007444672,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","HAMP",6.05910399534152e-06,1.05003146837494,4.72761260693588,0.0296820581326645,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","MDK",6.05498504727651e-06,1.04966848149089,4.72118717767692,0.0297931670142656,0.493715339093545
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT19",5.74936657799213e-06,1.02214569904572,4.25662184010173,0.0390975982059077,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB42",5.48617839496749e-06,0.997453262761093,3.87583178532182,0.0489860310911691,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","EPCAM",5.27880317165467e-06,0.977294965790208,3.5883599999842,0.0581856383704857,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN3",5.22054067571753e-06,0.971513296560771,3.5095871944333,0.0610146566104606,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",5.14959672009985e-06,0.96440044330993,3.41484902711542,0.0646123234532119,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",5.13784947839876e-06,0.963214825769336,3.39928691462013,0.0652246101584788,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","EEPD1",4.98531754636756e-06,0.947612268702929,3.20044760679841,0.0736181191113136,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1R1",4.95384977161227e-06,0.944344224329625,3.16017209170031,0.0754552287374506,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","LRP1",4.64310282333224e-06,0.91111117453419,2.77614196919863,0.0956783942051582,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",4.63429090955154e-06,0.910142176296295,2.76561456503251,0.096309693243381,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOE",4.61329815785484e-06,0.907827542751108,2.7406155463684,0.0978270772686905,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFT57",4.59327570504538e-06,0.905611735001373,2.71687775057289,0.0992920666818781,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","LTA4H",4.58936129533842e-06,0.905177605994605,2.71224905343519,0.0995805090755091,0.561940595812812
"GSE308103","macrophage","PLA2G7",116,90,"original_scTenifoldKnk_expanded_sensitivity","TNFRSF12A",4.56046376099122e-06,0.90196317235119,2.67820050136758,0.101730625104044,0.561940595812812
